一部,いちぶ,一,いち,
丨部,こんぶ,丨,ぼう たてぼう,
丶部,ちゅぶ,丶,てん ちょぼ,
丿部,へつぶ,丿,の はらいぼう,
#乙部,おつぶ,乙乚,,
亅部,けつぶ,亅,はねぼう かぎ,
二部,にぶ,二,に,
亠部,とうぶ,亠,なべぶた けさんかんむり けいさんかんむり,
#人部,じんぶ,人亻𠆢⺈,,,
#儿部,じんぶ,儿,,
#入部,にゅうぶ,入,,
#八部,はちぶ,八,丷,,
冂部,けいぶ,冂,けいがまえ まきがまえ どうがまえ えんがまえ,
冖部,べきぶ,冖,わかんむり ひらかんむり べきかんむり,
冫部,ひょうぶ,冫,にすい,
#几部,きぶ,几,,
#凵部,かんぶ,凵,,
#刀部,とうぶ,刀𠂊刂,,
力部,りょくぶ,力,ちから,
勹部,ほうぶ,勹,つつみがまえ,
匕部,ひぶ,匕,ひ さじ さじのひ,
匚部,ほうぶ,匚,はこがまえ,
匸部,けいぶ,匸,かくしがまえ,
十部,じゅうぶ,十,ジュウ,
卜部,ぼくぶ,卜,ぼく ぼくのと うらない と,
#卩部,せつぶ,卩㔾,,
厂部,かんぶ,厂,がんだれ,
厶部,しぶ,厶,む,
又部,ゆうぶ,又,また,
#口部,こうぶ,口,,
囗部,いぶ,囗,くにがまえ,
#土部,どぶ,土,,
#士部,しぶ,士,,
#夂部,ちぶ,夂,,
夊部,すいぶ,夊,なつあし,
夕部,せきぶ,夕,ゆう ゆうべ た,
#大部,だいぶ,大,,
#女部,じょぶ,女,,
#子部,しぶ,子,,
宀部,べんぶ,宀,うかんむり,
#寸部,すんぶ,寸,,
#小部,しょうぶ,小⺌龸,,
#尢部,おうぶ,尢尣,,
#尸部,しぶ,尸,,
屮部,てつぶ,屮,てつ めばえ,
#山部,さんぶ,山,,
#巛部,せんぶ,巛川,,
#工部,こうぶ,工,,
己部,きぶ,己巳已,おのれ,
#巾部,きんぶ,巾,,
干部,かんぶ,干,ほす かん いちじゅう,
幺部,ようぶ,幺,いとがしら よう,
广部,げんぶ,广,まだれ,
廴部,いんぶ,廴,えんにょう えんにゅう いんにょう けんにょう,
廾部,きょうぶ,廾,こまぬき にじゅうあし,
#弋部,よくぶ,弋,,
#弓部,きゅうぶ,弓,,
彐部,けいぶ,⺕彐彑,けいがしら いのこがしら,
彡部,さんぶ,彡,さんづくり かみかざり,
彳部,てきぶ,彳,ぎょうにんべん,
#心部,しんぶ,心忄⺗,,
#戈部,かぶ,戈,,
#戶部,こぶ,戸戶,,
#手部,しゅぶ,手扌,,
#支部,しぶ,支,,
#攴部,ぼくぶ,攴攵,,
#文部,ぶんぶ,文,,
斗部,とぶ,斗,と ます とます,
#斤部,きんぶ,斤,,
#方部,ほうぶ,方,,
#无部,むぶ,无旡,,
#日部,にちぶ,日,,
曰部,えつぶ,曰,ひらび いわく,
#月部,げつぶ,月,,
#木部,もくぶ,木,,
#欠部,けんぶ,欠,,
#止部,しぶ,止,,
#歹部,がつぶ,歹,,
#殳部,しゅぶ,殳,,
毋部,ぶぶ,母毋毌,なかれ ははのかん,
比部,ひぶ,比,ならびひ くらべる,
毛部,もうぶ,毛,け,
氏部,しぶ,氏,うじ,
气部,きぶ,气,きがまえ,
#水部,すいぶ,水氵氺,,
#火部,かぶ,火灬,,
#爪部,そうぶ,爪⺤爫,,
父部,ふぶ,父,ちち,
爻部,こうぶ,爻,こう まじわる めめ,
爿部,しょうぶ,⺦爿,しょうへん,
#片部,へんぶ,片,,
牙部,がぶ,牙牙,きば,
#牛部,ぎゅうぶ,牛牜,,
#犬部,けんぶ,犬⺨,,
玄部,げんぶ,玄,げん,
#玉部,ぎょくぶ,玉王玊,,
瓜部,かぶ,瓜,うり,
瓦部,がぶ,瓦,かわら,
甘部,かんぶ,甘,あまい かん,
生部,せいぶ,生,いきる うまれる せい しょう,
用部,ようぶ,用甩,もちいる よう,
#田部,でんぶ,田甲申由甴电,,
#疋部,しょぶ,疋𤴔,,
疒部,だくぶ,疒,やまいだれ,
癶部,はつぶ,癶,はつがしら,
#白部,はくぶ,白,,
皮部,ひぶ,皮,けがわ ひのかわ,
皿部,べいぶ,皿,さら,
#目部,もくぶ,目,,
#矛部,ぼうぶ,矛,,
#矢部,しぶ,矢,,
#石部,せきぶ,石,,
#示部,しぶ,示礻,,
禸部,じゅうぶ,禸,ぐうのあし じゅう,
#禾部,かぶ,禾,,
#穴部,けつぶ,穴,,
#立部,りゅうぶ,立,,
#竹部,ちくぶ,竹⺮,,
#米部,べいぶ,米,,
#糸部,べきぶ,糸糹,いと,
#缶部,ふぶ,缶,,
网部,もうぶ,网罒罓𦉰㓁,あみがしら よんがしら あみめ,
#羊部,ようぶ,羊𦍌⺷⺶,,
羽部,うぶ,羽羽,はね,
老部,ろうぶ,老耂,おいがしら おいかんむり,
而部,じぶ,而,しこうして しかして,
#耒部,らいぶ,耒,,
#耳部,じぶ,耳,,
#聿部,いつぶ,聿肀𦘒,,
#肉部,にくぶ,肉⺼,,
臣部,しんぶ,臣,しん,
自部,じぶ,自,みずから,
#至部,しぶ,至,,
臼部,きゅうぶ,臼𦥑,うす,
舌部,ぜつぶ,舌,した,
舛部,せんぶ,舛,ます まいあし,
#舟部,しゅうぶ,舟,,
#艮部,ごんぶ,艮,,
色部,しょくぶ,色,いろ,
#艸部,そうぶ,艸艹艹艹,,
虍部,こぶ,虍,とらがしら とらかんむり,
#虫部,きぶ,虫,,
#血部,けつぶ,血,,
行部,こうぶ,行,ぎょうがまえ ゆきがまえ,
#衣部,いぶ,衣衤,,
#襾部,あぶ,襾覀西,,
見部,けんぶ,見,みる,
#角部,かくぶ,角,,
#言部,げんぶ,言訁讠,,
谷部,こくぶ,谷,たに,
#豆部,とうぶ,豆,,
#豕部,しぶ,豕,,
豸部,ちぶ,豸,むじなへん,
#貝部,ばいぶ,貝,,
#赤部,せきぶ,赤,,
#走部,そうぶ,走,,
#足部,そくぶ,足𧾷,,
#身部,しんぶ,身,,
#車部,しゃぶ,車车,,
辛部,しんぶ,辛,からい しん,
辰部,しんぶ,辰,しんのたつ,
辵部,ちゃくぶ,辵辶辶辶,しんにょう しんにゅう,
#邑部,ゆうぶ,邑⻏,,
#酉部,ゆうぶ,酉,,
#釆部,はんぶ,釆,,
#里部,りぶ,里,,
#金部,きんぶ,金釒钅,,
長部,ちょうぶ,長镸,ながい,
門部,もんぶ,門,もんがまえ かどがまえ,
#阜部,ふぶ,阜阝,,
隶部,たいぶ,隶,れいづくり,
隹部,すいぶ,隹,ふるとり,
雨部,うぶ,雨⻗,あめかんむり あまかんむり,
靑部,せいぶ,靑青,あお,
非部,ひぶ,非,あらず,
面部,めんぶ,面靣,めん,
#革部,かくぶ,革,,
韋部,いぶ,韋韋韦,なめしがわ,
韭部,きゅうぶ,韭,にら,
#音部,おんぶ,音,,
頁部,けつぶ,頁,おおがい いちのかい,
#風部,ふうぶ,風,,
飛部,ひぶ,飛,とぶ,
#食部,しょくぶ,食⻞飠,しょくへん,
首部,しゅぶ,首,くび,
香部,こうぶ,香,かおり,
#馬部,ばぶ,馬,,
#骨部,こつぶ,骨,,
高部,こうぶ,高,たかい,
髟部,ひょうぶ,髟,かみがしら かみかんむり,
鬥部,とうぶ,鬥,たたかいがまえ とうがまえ,
鬯部,ちょうぶ,鬯,ちょう においざけ,
鬲部,れきぶ,鬲,かなえ れき,
#鬼部,きぶ,鬼,,
#魚部,ぎょぶ,魚,,
#鳥部,ちょうぶ,鳥,,
鹵部,ろぶ,鹵卤,ろ しお,
#鹿部,ろくぶ,鹿,,
#麥部,ばくぶ,麥麦,,
#麻部,まぶ,麻,,
黃部,こうぶ,黃黄,き,
黍部,しょぶ,黍,きび,
#黑部,こくぶ,黑黒,,
#黹部,ちぶ,黹,,
黽部,ぼうぶ,黽,べんあし べん かえる もう あおがえる,
鼎部,ていぶ,鼎,てい かなえ,
鼓部,こぶ,鼓,つづみ,
#鼠部,そぶ,鼠鼡,,
#鼻部,びぶ,鼻,,
齊部,せいぶ,齊斉,せい,
#齒部,しぶ,齒歯,,
龍部,りゅうぶ,龍竜龙,りゅう たつ,
龜部,きぶ,龜亀龟,かめ,
龠部,やくぶ,龠,やく ふえ やくのふえ,
