🉁,三
🉂,二
🉇,勝
🉃,安
🉅,打
🉈,敗
🉀,本
🉄,点
🉆,盗
〇,零
Ｂ,𥅥
亜,亞
唖,啞瘂
阿,𡹣
哀,依𢜺
愛,爱薆𢖻𢙴𤔠𤔤㤅𢛭𢜤𢟪
挨,剴捱𢰇捽𬂼
姶,㛕䏩
逢,朋奉麷㷭摓夆逄槰
葵,𫶙揆𦷡𦮙
茜,𦴛𦵻𧀈𦻤𦹀蒨
穐,龝秋秌
悪,𢙣惡
握,幄捂𦥆䌂押
渥,𩅵漚捂腛
旭,𡯙旮旴
葦,苇緯𥯤𦻪
芦,蘆芐
鯵,鰺
梓,杍榟
圧,壓
斡,幹筦𨋼𨌝𠦷
扱,𢩫接夾𢰽
宛,苑藴鬱惌
姐,妲她媎毑㜘
虻,蝱𧌦䖟䗈
飴,饴貽飼𥹋𨭄䬮𩛛𩛮𩞫
絢,绚𬗚紃絃𦃜𥾡橁
綾,绫
鮎,鲇鯰𩹾
或,惑國𢈿㦯𢦙
粟,𠧼䅇𥟫𥸫𥹟𥻆𥾄
袷,夹夾裌
安,閼案偃侒🉃
庵,菴奄厂广蓭盦葊𢊊
按,案
暗,晻闇𣆛𣈇隌啱
案,桉按安
闇,暗𬮴黯奄諳瘖煴
鞍,鞌𩣑
以,㕥㠯已似𠙋亦叱
伊,𡭕𠁼𠈽𦯴𠜧洢𠜰
位,𠇸立涖𢓔
依,殷哀扆伢𪝊
偉,伟
囲,圍
夷,儕彝荑焉侇𡗝𢓡𡰥㹫跠恞痍𢎯胰𡖴
委,萎隈諉
威,畏隈𤰴𤱫
尉,罻叞㷉熨慰𤈫
惟,帷維雖唯𢛧隹
意,億抑薏音噫悥憶于𠲖
慰,蔚尉𢟬𢠢
易,亦埸賜𡱿蜴㑥昜
椅,倚𬃪
為,于謂偽爲为𨤒𫞟𢏽𤓸𦥮
畏,威隈崴𠂽𤱫喂𤰲𤰣𤰵𤰰𤱖𤰴
異,异機𠔱𢄖異
異,異
移,迻乁施馳陊侈𡖰𢼏扡䄬𥞀𥟻𧚕𨂷
維,维惟
緯,纬葦徽
胃,謂𦝩𦞅𦞽𦛂
萎,委𣨙痿荽𦼔
衣,衤𧘇𠅃衣
衣,衣
謂,谓胃為歌𧬴
違,违圍韙回𩎮𢾁𣪡𨕸韋𨔻
遺,遗匱隨𢸦𧸃𧸯𧸽𨗔𨖽𨗭𨗮𨗭
医,醫𠣗翳
井,丼
亥,㐪𠀅𠦇𠅆𢁓𢁳䀭𢵱𧰧
域,有𡌳㚜𢨊㽣䧕
育,淯鬻冑毓𣫺袬𩛭育
育,育
郁,欝鬰鬱𨚺彧薁燠𨚼𨟝
磯,矶圻
一,弌壹𠤪🈩壱亦
壱,壹一
溢,佾鎰軼㳑洫益
逸,𨓜佚昳軼劮𠡓𤖍𤖚逸
逸,逸𠡓𤖍𤖚
稲,稻
茨,餈資
芋,宇芌羋芉芊芋
芋,芋
允,𠃔𠘭駿𡻏𡴞㽙
印,𠘄币抑
咽,嚥饐𠰸㖶𠽥𠾰嚈𡲙胭𦝪䑍噎
員,员貟運隕圓𪔅
因,囙姻㧢𤇀𩎪栶𤶑
姻,婣因𡛸𡜭𤯠
引,慎胤廴𢎢𢏂㧈𢪉靷㽼𢎤
飲,饮㱃𣲎淾𣶗𣤗酓𨡢𨡳𩚕飮𣵂𩚜
淫,婬滛沈深尋湛𣽮霪
胤,引𦙍𠉥㣧𤗅𦞩𦛬
蔭,荫廕陰窨䅧𦺼𦹥𨼲䕃
院,𫕉完寏𡌗
陰,阴隂窨蔭𠆭侌𠊺𢉩𣱙𣍤𤽎𩃬阥𨹉𨹩𨻔𨼖𨽙𨽭𦺼霒
隠,殷隱乚
韻,韵匀均𡁩𡅙𧥺
右,厷侑有宥佑又𠮢祐🈮古
宇,寓芋野羽𠨯㙑㡰𢉠𡧈㝢穻𡧃𡧈
烏,乌𠂶𤚶於𥾪𡖗𡗃
羽,宇扈䨒𡱐羽𦏲
羽,𦏲羽
迂,于𨑛迃
雨,𠕒𠕘𠕲㲾𩁼𩗿兩𡷎
卯,夘戼邜昴𤕰𦕔𩇧𩇨卬𫝁𠨍𡖉茆丣𩇦
鵜,鹈鴺𪁩鷉
窺,窥闚規跬𡪽𥨾𥨖
丑,醜𠃠魗丒𪜫
臼,旧𦥑𦥒𦥓
渦,涡濄涹
嘘,歔噓
唄,呗㗑𠼕𠼚𡁭
欝,郁𬅜鬱
蔚,慰𦵥
鰻,鳗𩺴𩻠䱉
厩,廄廐𪠔廏
浦,溥
瓜,蝸苽𠇊爪𤓰鈲
閏,闰閠𥹿𨳝䦞閨
噂,譐𧯒
云,雲𠫓伝煴
運,运煇暈渾員𨔪
雲,云芸𦤆
荏,茬
餌,饵咡鉺聭㢽𧊗𩚪𩛣𩱓
叡,睿𠮉𠮏壡英𣦲㲊㪫
営,營🈺
嬰,婴罌孾孆纓𦦿
影,𢒬景翳𢒈
映,暎䁐🈙
曳,曵电跇栧抴拽𢦣𦥙
栄,榮荣
永,咏𠘷𣱵泳
泳,永
洩,泄
瑛,英
盈,贏羸夃盁𡺡𫞯𫞰
穎,颖頴褧㯋
頴,颖颕穎潁英
英,䇦瑛偀𥍼頴叡
衛,卫𠀄衞䘙𩤸
詠,咏𠰿
鋭,锐棁兑㓹鈗銳
液,夜掖醳洂
疫,𤶣
益,嗌隘錫賜溢𠍳鎰益
益,益
駅,驛
悦,侻税恱説悅
謁,谒靄謁
謁,謁
越,與粤括𧻂𦈭趏䟠𨒋洫𠱿𬦈
閲,阅穴𧢅閱
榎,檟
厭,厌擪嬮撎猒𤟶𤡜懕饜魘㦔𢣽
円,圓
園,园𡈤薗苑
堰,偃墕隁𨻳
奄,𡘹𪥍闇晻黭𠘘庵䣍淹掩𡘤𩗷
宴,醼讌匽晏曣燕𡩷
延,羨衍綖𨒂㢟𢌛𨒌
怨,冤藴𠈢𢘔𠨛𢖭𢘖㤪𢛪惌愠𠨝𢘈㥐
掩,𢲅淹奄𥦩揜援𦁏掩
掩,掩
援,𠋠爰愋掩楥
