U+F900	豈	2	0	0			10	150										豈	how? what?								개:0	KAY				
U+F901	更	2	0	0			7	72										更	more, still further, much more								갱:0	KAYNG				
U+F902	車	2	0	0			7	158										車	cart, vehicle; carry in cart								거:0	KE				
U+F903	賈	2	0	0			13	153										賈	surname; merchant; buy, trade								고:0	KO				
U+F904	滑	2	0	0			12	84										滑	slip, slide; slippery, polished								골:0	KOL				
U+F905	串	2	0	0			7	1										串	string; relatives; conspire								관:0	KOC				
U+F906	句	2	0	0			5	29										句	sentence								귀:0	KWI				
U+F907	龜	2	0	0			16	212										龜	turtle or tortoise; cuckold								귀:0	KWI				
U+F908	龜	2	0	0			16	212										龜	turtle or tortoise; cuckold								균:0	KYUN				
U+F909	契	2	0	0			9	36										契	deed, contract, bond; engrave								글:0	KUL				
U+F90A	金	2	0	0			8	166										金	gold; metals in general; money								금:0	KUM				
U+F90B	喇	2	0	0			12	29										喇	horn, bugle; lama; final particle								나:0	NA				
U+F90C	奈	2	0	0			8	36										奈	but, how; bear, stand, endure								나:0	NA				
U+F90D	懶	2	0	0			19	60										懶	lazy, languid, listless								나:0	NA				
U+F90E	癩	2	0	0			21	103										癩	leprosy, scabies, mange; shoddy								나:0	NA				
U+F90F	羅	2	0	0			19	121										羅	net for catching birds; gauze								나:0	NA				
U+F910	蘿	2	0	0			22	139										蘿	type of creeping plant; turnip								나:0	NA				
U+F911	螺	2	0	0			17	141										螺	spiral shell; conch; spiral								나:0	NA				
U+F912	裸	2	0	0			13	144										裸	bare, nude; undress, strip								나:0	NA				
U+F913	邏	2	0	0			22	161										邏	patrol; inspect; watch								나:0	NA				
U+F914	樂	2	0	0			15	74										樂	happy, glad; enjoyable; music								낙:0	NAK				
U+F915	洛	2	0	0			9	84										洛	river in Shanxi province; city								낙:0	NAK				
U+F916	烙	2	0	0			10	85										烙	brand, burn; branding iron								낙:0	NAK				
U+F917	珞	2	0	0			10	95										珞	kind of necklace								낙:0	NAK				
U+F918	落	2	0	0			12	139										落	fall, drop; net income, surplus								낙:0	NAK				
U+F919	酪	2	0	0			13	163										酪	cream, cheese; koumiss								낙:0	NAK				
U+F91A	駱	2	0	0			16	186										駱	white horse with black mane; camel								낙:0	NAK				
U+F91B	亂	2	0	0			13	4										亂	confusion, state of chaos; create chaos, revolt								난:0	NAN				
U+F91C	卵	2	0	0			7	25										卵	egg; ovum; roe; spawn								난:0	NAN				
U+F91D	欄	2	3	0			21	74			欄欗							欄	railing, balustrade; animal pen								난:0	NAN				
U+F91E	爛	2	0	0			21	85										爛	rotten, spoiled, decayed								난:0	NAN				
U+F91F	蘭	2	0	0			20	139										蘭	orchid; elegant, graceful								난:0	NAN				
U+F920	鸞	2	0	0			30	195										鸞	fabulous bird								난:0	NAN				
U+F921	嵐	2	0	0			12	45										嵐	mountain mist, mountain haze								남:0	NAM				
U+F922	濫	2	0	0			17	84										濫	flood, overflow; excessive								남:0	NAM				
U+F923	藍	2	0	0			17	139										藍	blue; indigo plant; surname								남:0	NAM				
U+F924	襤	2	0	0			19	144										襤	ragged, tattered, threadbare								남:0	NAM				
U+F925	拉	2	0	0			8	63										拉	pull, drag; seize, hold; lengthen								납:0	NAP				
U+F926	臘	2	0	0			19	129										臘	year end sacrifice; dried meat								납:0	NAP				
