一部,いちぶ,一,いち,
丨部,こんぶ,丨,ぼう たてぼう,
丶部,ちゅぶ,丶,てん ちょぼ,
丿部,へつぶ,丿,の はらいぼう,
乙部,おつぶ,乙,おつ,
乙部,おつぶ,乙,つりばり,right
乙部,おつぶ,乙,おつにょう,nyo
亅部,けつぶ,亅,はねぼう かぎ,
二部,にぶ,二,に,
亠部,とうぶ,亠,なべぶた けさんかんむり けいさんかんむり,
人部,じんぶ,人,ひと,
人部,じんぶ,𠆢,ひとがしら ひとやね ひとかんむり,
人部,じんぶ,人,ひとがしら ひとやね ひとかんむり,top
人部,じんぶ,亻,にんべん,
儿部,じんぶ,儿,ひとあし,
儿部,じんぶ,儿,にんにょう,nyo
入部,にゅうぶ,入,いる,
入部,にゅうぶ,入,いりがしら いりやね,top
八部,はちぶ,八,はち は,
八部,はちぶ,丷,はちがしら,
冂部,けいぶ,冂,けいがまえ まきがまえ どうがまえ えんがまえ,
冖部,べきぶ,冖,わかんむり ひらかんむり べきかんむり,
冫部,ひょうぶ,冫,にすい,
几部,きぶ,几,つくえ,
几部,きぶ,几,かぜかんむり,top
几部,きぶ,几,きがまえ つくえがまえ かぜがまえ,kamae
几部,きぶ,几,きにょう つくえきにょう,nyo
凵部,かんぶ,凵,うけばこ したばこ,
凵部,かんぶ,凵,かんがまえ,kamae
凵部,かんぶ,凵,かんにょう,nyo
刀部,とうぶ,刀,かたな,
刀部,とうぶ,𠂊,かたな,
刀部,とうぶ,刂,りっとう,
力部,りょくぶ,力,ちから,
勹部,ほうぶ,勹,つつみがまえ,
匕部,ひぶ,匕,ひ さじ さじのひ,
匚部,ほうぶ,匚,はこがまえ,
匸部,けいぶ,匸,かくしがまえ,
十部,じゅうぶ,十,ジュウ,
卜部,ぼくぶ,卜,ぼく ぼくのと うらない と,
卩部,せつぶ,卩,ふしづくり わりふ,
卩部,せつぶ,㔾,まげわりふ,
厂部,かんぶ,厂,がんだれ,
厶部,しぶ,厶,む,
又部,ゆうぶ,又,また,
口部,こうぶ,口,くち,
口部,こうぶ,口,くちへん,left
囗部,いぶ,囗,くにがまえ,
土部,どぶ,土,つち,
土部,どぶ,土,つちへん どへん,left
士部,しぶ,士,さむらい,
士部,しぶ,士,さむらいかんむり,top
夂部,ちぶ,夂,ち,
夂部,ちぶ,夂,ふゆがしら ちかんむり のまたかんむり,top
夊部,すいぶ,夊,すいにょう すいにゅう なつあし,
夕部,せきぶ,夕,ゆう ゆうべ た,
大部,だいぶ,大,だい,
大部,だいぶ,大,だいがしら だいかんむり,top
女部,じょぶ,女,おんな,
女部,じょぶ,女,おんなへん,left
子部,しぶ,子,こ こども,
子部,しぶ,子,こへん こどもへん,left
宀部,べんぶ,宀,うかんむり,
寸部,すんぶ,寸,すん,
寸部,すんぶ,寸,すんづくり,right
小部,しょうぶ,小,しょう,
小部,しょうぶ,⺌,しょうがしら なおがしら,
小部,しょうぶ,龸,しょうがしら なおがしら,
尢部,おうぶ,尢,まげあし だいのまげあし,
尢部,おうぶ,尢,おうにょう,nyo
尢部,おうぶ,尣,げあし だいのまげあし,
尢部,おうぶ,尣,おうにょう,nyo
尸部,しぶ,尸,しかばね かばね,
尸部,しぶ,尸,しかばねかんむり,top
尸部,しぶ,尸,かばねだれ,tare
屮部,てつぶ,屮,てつ めばえ,
山部,さんぶ,山,やま,
山部,さんぶ,山,やまへん,left
山部,さんぶ,山,やまかんむり,top
巛部,せんぶ,巛,まがりがわ まげかわ,
巛部,せんぶ,川,かわ さんぼんがわ,
工部,こうぶ,工,こう たくみ え,
工部,こうぶ,工,たくみへん,left
己部,きぶ,己,おのれ,
己部,きぶ,巳,おのれ,
己部,きぶ,已,おのれ,
巾部,きんぶ,巾,はば,
巾部,きんぶ,巾,はばへん きんへん きんべん,left
干部,かんぶ,干,ほす かん いちじゅう,
幺部,ようぶ,幺,いとがしら よう,
广部,げんぶ,广,まだれ,
廴部,いんぶ,廴,えんにょう えんにゅう いんにょう けんにょう,
廾部,きょうぶ,廾,こまぬき にじゅうあし,
弋部,よくぶ,弋,よく,
弋部,よくぶ,弋,しきがまえ,kamae
弓部,きゅうぶ,弓,ゆみ,
弓部,きゅうぶ,弓,ゆみへん,left
彐部,けいぶ,⺕,けいがしら いのこがしら,
彐部,けいぶ,彐,けいがしら いのこがしら,
彐部,けいぶ,彑,けいがしら いのこがしら,
彡部,さんぶ,彡,さんづくり かみかざり,
彳部,てきぶ,彳,ぎょうにんべん,
心部,しんぶ,心,こころ,
心部,しんぶ,忄,りっしんべん,
心部,しんぶ,⺗,したごころ,
戈部,かぶ,戈,たすき かのほこ,
戈部,かぶ,戈,ほこがまえ,kamae
戈部,かぶ,戈,ほこづくり,right
戶部,こぶ,戸,と とびらのと,
戶部,こぶ,戶,と とびらのと,
戶部,こぶ,戸,とかんむり,top
戶部,こぶ,戶,とかんむり,top
戶部,こぶ,戸,とだれ,tare
戶部,こぶ,戶,とだれ,tare
手部,しゅぶ,手,て,
手部,しゅぶ,扌,てへん,
支部,しぶ,支,ささえる じゅうまた,
支部,しぶ,支,しにょう えだにょう,nyo
攴部,ぼくぶ,攴,のぶん しぶん とまた,
攴部,ぼくぶ,攵,のぶん しぶん とまた,
攴部,ぼくぶ,攴,ぼくづくり,right
攴部,ぼくぶ,攵,ぼくづくり,right
攴部,ぼくぶ,攴,ぼくにょう ぼんにょう,nyo
攴部,ぼくぶ,攵,ぼくにょう ぼんにょう,nyo
文部,ぶんぶ,文,ぶん,
文部,ぶんぶ,文,ぶんにょう,nyo
文部,ぶんぶ,文,ふみづくり,right
斗部,とぶ,斗,と ます とます,
斤部,きんぶ,斤,おの おのづくり きん,
方部,ほうぶ,方,ほう,
方部,ほうぶ,方,かたへん ほうへん,left
无部,むぶ,无,なし ぶ む,
无部,むぶ,旡,なし ぶ む,
无部,むぶ,无,すでのつくり,right
无部,むぶ,旡,すでのつくり,right
无部,むぶ,无,むにょう,nyo
无部,むぶ,旡,むにょう,nyo
日部,にちぶ,日,にち,
日部,にちぶ,日,ひへん にちへん,left
曰部,えつぶ,曰,ひらび いわく,
月部,げつぶ,月,つき,
月部,げつぶ,月,つきへん,left
木部,もくぶ,木,き,
木部,もくぶ,木,きへん,left
欠部,けんぶ,欠,あくび かける,
欠部,けんぶ,欠,けんづくり ふきづくり,right
止部,しぶ,止,とめる,
止部,しぶ,止,とめへん,left
歹部,がつぶ,歹,がつ,
歹部,がつぶ,歺,がつ,
歹部,がつぶ,歹,しにがまえ,kamae
歹部,がつぶ,歺,しにがまえ,kamae
歹部,がつぶ,歹,かばねへん がつへん いちたへん いっせきへん,left
歹部,がつぶ,歺,かばねへん がつへん いちたへん いっせきへん,left
殳部,しゅぶ,殳,ほこづくり ほこ るまた,
毋部,ぶぶ,母,なかれ ははのかん,
毋部,ぶぶ,毋,なかれ ははのかん,
毋部,ぶぶ,毌,なかれ ははのかん,
比部,ひぶ,比,ならびひ くらべる,
毛部,もうぶ,毛,け,
氏部,しぶ,氏,うじ,
气部,きぶ,气,きがまえ,
水部,すいぶ,水,みず,
水部,すいぶ,氵,さんずい,
水部,すいぶ,⺡,さんずい,
水部,すいぶ,氺,したみず,
火部,かぶ,火,ひ,
火部,かぶ,火,ひへん,top
火部,かぶ,灬,れっか れんが,
爪部,そうぶ,爪,つめ,
爪部,そうぶ,爪,そうにょう,nyo
爪部,そうぶ,⺤,つめかんむり つめがしら のつかんむり,
爪部,そうぶ,爫,つめかんむり つめがしら のつかんむり,
父部,ふぶ,父,ちち,
爻部,こうぶ,爻,こう まじわる めめ,
爿部,しょうぶ,⺦,しょうへん,
爿部,しょうぶ,爿,しょうへん,
片部,へんぶ,片,かた,
片部,へんぶ,片,かたへん,left
牙部,がぶ,牙,きば,
牙部,がぶ,牙,きば,
牙部,がぶ,牙,きば,
牛部,ぎゅうぶ,牛,うし,
牛部,ぎゅうぶ,牜,うしへん,left
犬部,けんぶ,犬,いぬ,
犬部,けんぶ,⺨,けものへん,
犬部,けんぶ,犭,けものへん,
玄部,げんぶ,玄,げん,
玉部,ぎょくぶ,玉,たま,
玉部,ぎょくぶ,王,たま,
玉部,ぎょくぶ,玊,たま,
玉部,ぎょくぶ,玉,たまへん ぎょくへん おうへん,left
玉部,ぎょくぶ,王,たまへん ぎょくへん おうへん,left
玉部,ぎょくぶ,玊,たまへん ぎょくへん おうへん,left
瓜部,かぶ,瓜,うり,
瓦部,がぶ,瓦,かわら,
甘部,かんぶ,甘,あまい かん,
生部,せいぶ,生,いきる うまれる せい しょう,
用部,ようぶ,用,もちいる よう,
用部,ようぶ,甩,もちいる よう,
田部,でんぶ,田,た,
田部,でんぶ,田,たへん,
疋部,しょぶ,疋,ひき,
疋部,しょぶ,疋,ひきへん,left
疒部,だくぶ,疒,やまいだれ,
癶部,はつぶ,癶,はつがしら,
白部,はくぶ,白,しろ,
白部,はくぶ,白,しろへん,left
皮部,ひぶ,皮,けがわ ひのかわ,
皿部,べいぶ,皿,さら,
目部,もくぶ,目,め,
目部,もくぶ,目,めへん,left
矛部,ぼうぶ,矛,ほこ,
矛部,ぼうぶ,矛,ほこへん,left
矢部,しぶ,矢,や,
矢部,しぶ,矢,やへん,left
石部,せきぶ,石,いし,
石部,せきぶ,石,いしへん,left
示部,しぶ,示,しめす,
示部,しぶ,礻,しめすへん ねへん,
禸部,じゅうぶ,禸,ぐうのあし じゅう,
禾部,かぶ,禾,いね のぎ,
禾部,かぶ,禾,いねへん のぎへん,left
穴部,けつぶ,穴,あな,
穴部,けつぶ,穴,あなかんむり,top
立部,りゅうぶ,立,たつ,
立部,りゅうぶ,立,たつへん,left
竹部,ちくぶ,竹,たけ,
竹部,ちくぶ,竹,たけかんむり,left
米部,べいぶ,米,こめ,
米部,べいぶ,米,こめへん,left
糸部,べきぶ,糸,いと,
糸部,べきぶ,糸,いとへん,left
缶部,ふぶ,缶,ほとぎ かん,
缶部,ふぶ,缶,ほとぎへん,left
网部,もうぶ,网,あみがしら よんがしら あみめ,
网部,もうぶ,罒,あみがしら よんがしら あみめ,
羊部,ようぶ,羊,ひつじ,
羊部,ようぶ,⺷,ひつじ,
羊部,ようぶ,⺶,ひつじ,
羊部,ようぶ,羊,ひつじへん,left
羽部,うぶ,羽,はね,
老部,ろうぶ,老,おいがしら おいかんむり,
老部,ろうぶ,耂,おいがしら おいかんむり,
而部,じぶ,而,しこうして しかして,
耒部,らいぶ,耒,らいすき,
耒部,らいぶ,耒,すきへん,left
耳部,じぶ,耳,みみ,
耳部,じぶ,耳,みみへん,left
聿部,いつぶ,聿,ふで いつ,
聿部,いつぶ,聿,ふでづくり,right
肉部,にくぶ,肉,にく にくづき,
臣部,しんぶ,臣,しん,
自部,じぶ,自,みずから,
至部,しぶ,至,いたる,
至部,しぶ,至,いたるへん,left
臼部,きゅうぶ,臼,うす,
臼部,きゅうぶ,𦥑,うす,
舌部,ぜつぶ,舌,した,
舛部,せんぶ,舛,ます まいあし,
舟部,しゅうぶ,舟,ふね,
舟部,しゅうぶ,舟,ふねへん,left
艮部,ごんぶ,艮,ごん うしとら,
艮部,ごんぶ,艮,こんづくり ごんづくり ねづくり,right
色部,しょくぶ,色,いろ,
艸部,そうぶ,艸,くさ そうこう,
艸部,そうぶ,艹,くさかんむり,
艸部,そうぶ,艹,くさかんむり,
艸部,そうぶ,艹,くさかんむり,
虍部,こぶ,虍,とらがしら とらかんむり,
虫部,きぶ,虫,むし,
虫部,きぶ,虫,むしへん,left
血部,けつぶ,血,ち,
血部,けつぶ,血,ちへん,left
行部,こうぶ,行,ぎょうがまえ ゆきがまえ,
衣部,いぶ,衣,ころも,
衣部,いぶ,衤,ころもへん,
襾部,あぶ,西,にし,
襾部,あぶ,襾覀,おおいかんむり かなめのかしら,top
見部,けんぶ,見,みる,
角部,かくぶ,角,つの,
角部,かくぶ,角,つのへん かくへん,left
言部,げんぶ,言,げん ことば,
言部,げんぶ,訁,ごんべん,left
言部,げんぶ,讠,ごんべん,left
谷部,こくぶ,谷,たに,
豆部,とうぶ,豆,まめ,
豆部,とうぶ,豆,まめへん,left
豕部,しぶ,豕,いのこ,
豕部,しぶ,豕,いのこへん,left
豸部,ちぶ,豸,むじなへん,
貝部,ばいぶ,貝,かい こがい,
貝部,ばいぶ,貝,かいへん,left
赤部,せきぶ,赤,あか,
赤部,せきぶ,赤,あかへん,left
走部,そうぶ,走,はしる,
走部,そうぶ,走,そうにょう,nyo
足部,そくぶ,足,あし,
足部,そくぶ,𧾷,あしへん,left
身部,しんぶ,身,み,
身部,しんぶ,身,みへん,left
車部,しゃぶ,車,くるま,
車部,しゃぶ,車,くるまへん,left
辛部,しんぶ,辛,からい しん,
辰部,しんぶ,辰,しんのたつ,
辵部,ちゃくぶ,辵,しんにょう しんにゅう,
辵部,ちゃくぶ,⻌,しんにょう しんにゅう,
辵部,ちゃくぶ,辶,しんにょう しんにゅう,
邑部,ゆうぶ,邑,こざと おか,
邑部,ゆうぶ,⻏,おおざと,
酉部,ゆうぶ,酉,さけのとり ひよみのとり こよみのとり,
酉部,ゆうぶ,酉,とりへん,left
酉部,ゆうぶ,酉,さけつくり,right
釆部,はんぶ,釆,のごめ,
釆部,はんぶ,釆,のごめへん,left
里部,りぶ,里,さと,
里部,りぶ,里,さとへん,left
金部,きんぶ,金,かね,
金部,きんぶ,釒,かねへん
長部,ちょうぶ,長,ながい,
門部,もんぶ,門,もんがまえ かどがまえ,
阜部,ふぶ,阜,こざと おか,
阜部,ふぶ,阝,こざとへん,
阜部,ふぶ,⻖,こざとへん,
隶部,たいぶ,隶,れいづくり,
隹部,すいぶ,隹,ふるとり,
雨部,うぶ,雨,あめかんむり あまかんむり,
靑部,せいぶ,靑,あお,
靑部,せいぶ,青,あお,
非部,ひぶ,非,あらず,
面部,めんぶ,面,めん,
革部,かくぶ,革,つくりがわ かくのかわ,
革部,かくぶ,革,かわへん,left
韋部,いぶ,韋,なめしがわ,
韭部,きゅうぶ,韭,にら,
音部,おんぶ,音,おと,
音部,おんぶ,音,おとへん,left
頁部,けつぶ,頁,おおがい いちのかい,
風部,ふうぶ,風,かぜ,
風部,ふうぶ,風,ふうにょう,nyo
飛部,ひぶ,飛,とぶ,
食部,しょくぶ,食,しょく,
食部,しょくぶ,⻞,しょくへん,
食部,しょくぶ,飠,しょくへん,
首部,しゅぶ,首,くび,
香部,こうぶ,香,かおり,
馬部,ばぶ,馬,うま,
馬部,ばぶ,馬,うまへん,left
骨部,こつぶ,骨,ほね,
骨部,こつぶ,骨,ほねへん,left
高部,こうぶ,高,たかい,
