⺌,小部,しょうぶ,⺌,しょうがしら なおがしら
⺍,ツ部,つぶ,⺍,つ つかんむり
⺕,彐部,けいぶ,⺕,けいがしら いのこがしら
⺗,心部,しんぶ,⺗,したごころ
⺡,水部,すいぶ,⺡,さんずい
⺤,爪部,そうぶ,⺤,つめかんむり つめがしら のつかんむり
⺦,爿部,しょうぶ,⺦,しょうへん
⺨,犬部,けんぶ,⺨,けものへん
⻃,襾部,あぶ,西,にし
⻌,辵部,ちゃくぶ,⻌,しんにょう しんにゅう
⻏,邑部,ゆうぶ,⻏,おおざと
⻖,阜部,ふぶ,⻖,こざとへん
㐬,亠部,とうぶ,亠,なべぶた けさんかんむり けいさんかんむり
㓁,冖部,べきぶ,冖,わかんむり ひらかんむり べきかんむり
㔾,卩部,せつぶ,㔾,まげわりふ わりふ
一,一部,いちぶ,一,いち
丁,一部,いちぶ,一,いち
七,一部,いちぶ,一,いち
万,一部,いちぶ,一,いち
丈,一部,いちぶ,一,いち
三,一部,いちぶ,一,いち
上,一部,いちぶ,一,いち
下,一部,いちぶ,一,いち
不,一部,いちぶ,一,いち
与,一部,いちぶ,一,いち
丐,一部,いちぶ,一,いち
丑,一部,いちぶ,一,いち
且,一部,いちぶ,一,いち
丕,一部,いちぶ,一,いち
世,一部,いちぶ,一,いち
丗,一部,いちぶ,一,いち
丘,一部,いちぶ,一,いち
丙,一部,いちぶ,一,いち
丞,一部,いちぶ,一,いち
両,一部,いちぶ,一,いち
並,一部,いちぶ,一,いち
丨,丨部,こんぶ,丨,ぼう たてぼう
个,丨部,こんぶ,丨,ぼう たてぼう
中,丨部,こんぶ,丨,ぼう たてぼう
丱,丨部,こんぶ,丨,ぼう たてぼう
串,丨部,こんぶ,丨,ぼう たてぼう
丶,丶部,ちゅぶ,丶,てん ちょぼ
丸,丶部,ちゅぶ,丶,てん ちょぼ
丹,丶部,ちゅぶ,丶,てん ちょぼ
主,丶部,ちゅぶ,丶,てん ちょぼ
丼,丶部,ちゅぶ,丶,てん ちょぼ
丿,丿部,へつぶ,丿,の はらいぼう
乂,丿部,へつぶ,丿,の はらいぼう
乃,丿部,へつぶ,丿,の はらいぼう
久,丿部,へつぶ,丿,の はらいぼう
之,丶部,ちゅぶ,丶,てん ちょぼ
乍,丿部,へつぶ,丿,の はらいぼう
乎,丿部,へつぶ,丿,の はらいぼう
乏,丿部,へつぶ,丿,の はらいぼう
乕,丿部,へつぶ,丿,の はらいぼう
乖,丿部,へつぶ,丿,の はらいぼう
乗,丿部,へつぶ,丿,の はらいぼう
乘,丿部,へつぶ,丿,の はらいぼう
乙,乙部,おつぶ,乙,おつ
九,乙部,おつぶ,乙,おつ
乞,乙部,おつぶ,乙,おつ
也,乙部,おつぶ,乙,おつ
乢,山部,さんぶ,山,やまへん
乱,乙部,おつぶ,乙,つりばり
乳,乙部,おつぶ,乙,つりばり
乾,乙部,おつぶ,乙,おつ
亀,龜部,きぶ,亀,かめ
亂,乙部,おつぶ,乙,つりばり
亅,亅部,けつぶ,亅,はねぼう かぎ
了,亅部,けつぶ,亅,はねぼう かぎ
予,亅部,けつぶ,亅,はねぼう かぎ
争,亅部,けつぶ,亅,はねぼう かぎ
亊,亅部,けつぶ,亅,はねぼう かぎ
事,亅部,けつぶ,亅,はねぼう かぎ
二,二部,にぶ,二,に
于,二部,にぶ,二,に
云,二部,にぶ,二,に
互,二部,にぶ,二,に
五,二部,にぶ,二,に
井,二部,にぶ,二,に
亘,二部,にぶ,二,に
亙,二部,にぶ,二,に
些,二部,にぶ,二,に
亜,二部,にぶ,二,に
亞,二部,にぶ,二,に
亟,二部,にぶ,二,に
亠,亠部,とうぶ,亠,なべぶた けさんかんむり けいさんかんむり
亡,亠部,とうぶ,亠,なべぶた けさんかんむり けいさんかんむり
亢,亠部,とうぶ,亠,なべぶた けさんかんむり けいさんかんむり
交,亠部,とうぶ,亠,なべぶた けさんかんむり けいさんかんむり
亥,亠部,とうぶ,亠,なべぶた けさんかんむり けいさんかんむり
亦,亠部,とうぶ,亠,なべぶた けさんかんむり けいさんかんむり
亨,亠部,とうぶ,亠,なべぶた けさんかんむり けいさんかんむり
享,亠部,とうぶ,亠,なべぶた けさんかんむり けいさんかんむり
京,亠部,とうぶ,亠,なべぶた けさんかんむり けいさんかんむり
亭,亠部,とうぶ,亠,なべぶた けさんかんむり けいさんかんむり
亮,亠部,とうぶ,亠,なべぶた けさんかんむり けいさんかんむり
亰,亠部,とうぶ,亠,なべぶた けさんかんむり けいさんかんむり
亳,亠部,とうぶ,亠,なべぶた けさんかんむり けいさんかんむり
亶,亠部,とうぶ,亠,なべぶた けさんかんむり けいさんかんむり
人,人部,じんぶ,人,ひと
亻,人部,じんぶ,亻,にんべん
什,人部,じんぶ,亻,にんべん
仁,人部,じんぶ,亻,にんべん
仂,人部,じんぶ,亻,にんべん
仄,人部,じんぶ,人,ひと
仆,人部,じんぶ,亻,にんべん
